group_id,topic,raw_query,raw_results,raw_recent,raw_saved,query2results,results2query,query2recent,recent2query,query2saved,saved2query,results2recent,recent2results,results2saved,saved2results,recent2saved,saved2recent
5ea72637ec9f9fc6aa2ae05d,341,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea72637ec9f9fc6aa2ae05d,367,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5ea72637ec9f9fc6aa2ae05d,650,18,28,9,5,15,17,2,1,1,0,6,8,4,4,0,1
5ea726adec9f9fc6aa2ae066,341,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea726adec9f9fc6aa2ae066,367,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea726adec9f9fc6aa2ae066,650,1,3,0,2,1,0,0,0,0,1,0,0,2,1,0,0
5ea726cdec9f9fc6aa2ae06c,341,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea726cdec9f9fc6aa2ae06c,367,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea726cdec9f9fc6aa2ae06c,650,13,20,6,5,12,13,0,0,1,0,4,4,2,3,2,2
5ea72730ec9f9fc6aa2ae08a,341,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea72730ec9f9fc6aa2ae08a,367,4,4,0,0,4,3,0,0,0,0,0,0,0,0,0,0
5ea72730ec9f9fc6aa2ae08a,650,0,3,2,0,0,0,0,0,0,0,2,2,0,0,0,0
5ea727a6ec9f9fc6aa2ae2ac,341,0,5,2,2,0,0,0,0,0,0,2,2,2,2,0,0
5ea727a6ec9f9fc6aa2ae2ac,367,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5ea727a6ec9f9fc6aa2ae2ac,650,3,26,6,17,3,3,0,0,0,0,6,5,16,17,1,0
5ea73514ec9f9fc6aa2bec2e,341,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5ea73514ec9f9fc6aa2bec2e,367,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea73514ec9f9fc6aa2bec2e,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea7352aec9f9fc6aa2bec70,341,2,4,1,0,2,2,0,0,0,0,1,1,0,0,0,0
5ea7352aec9f9fc6aa2bec70,367,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea7352aec9f9fc6aa2bec70,650,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea73572ec9f9fc6aa2bed47,341,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea73572ec9f9fc6aa2bed47,367,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0
5ea73572ec9f9fc6aa2bed47,650,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0
5ea735aeec9f9fc6aa2bed79,341,3,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0
5ea735aeec9f9fc6aa2bed79,367,0,3,2,0,0,0,0,0,0,0,2,2,0,0,0,0
5ea735aeec9f9fc6aa2bed79,650,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
