group_id,topic,raw_query,raw_results,raw_recent,raw_saved,query2results,results2query,query2recent,recent2query,query2saved,saved2query,results2recent,recent2results,results2saved,saved2results,recent2saved,saved2recent
5ea72637ec9f9fc6aa2ae05d,341,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5ea72637ec9f9fc6aa2ae05d,367,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5ea72637ec9f9fc6aa2ae05d,650,7,7,1,1,5,6,1,0,0,0,0,1,1,1,0,0
5ea726adec9f9fc6aa2ae066,341,4,15,3,10,4,4,0,0,0,0,2,1,8,9,2,1
5ea726adec9f9fc6aa2ae066,367,4,3,1,3,1,1,0,0,2,3,1,1,1,0,0,0
5ea726adec9f9fc6aa2ae066,650,1,2,2,0,0,1,0,0,0,0,1,2,0,0,0,0
5ea726cdec9f9fc6aa2ae06c,341,4,4,0,0,4,3,0,0,0,0,0,0,0,0,0,0
5ea726cdec9f9fc6aa2ae06c,367,6,5,0,3,4,4,0,0,1,2,0,0,1,1,0,0
5ea726cdec9f9fc6aa2ae06c,650,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5ea72730ec9f9fc6aa2ae08a,341,2,2,1,2,0,0,0,0,1,2,1,1,1,0,0,0
5ea72730ec9f9fc6aa2ae08a,367,2,2,2,3,1,1,0,0,0,0,0,0,1,1,2,2
5ea72730ec9f9fc6aa2ae08a,650,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea727a6ec9f9fc6aa2ae2ac,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea727a6ec9f9fc6aa2ae2ac,367,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5ea727a6ec9f9fc6aa2ae2ac,650,1,4,2,2,0,1,0,0,0,0,1,2,2,1,0,1
5ea73514ec9f9fc6aa2bec2e,341,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5ea73514ec9f9fc6aa2bec2e,367,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5ea73514ec9f9fc6aa2bec2e,650,1,7,2,6,1,0,0,0,0,0,1,1,5,5,1,1
5ea7352aec9f9fc6aa2bec70,341,2,2,1,1,1,2,0,0,0,0,0,1,0,0,0,1
5ea7352aec9f9fc6aa2bec70,367,1,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0
5ea7352aec9f9fc6aa2bec70,650,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea73572ec9f9fc6aa2bed47,341,0,8,5,2,0,0,0,0,0,0,5,5,2,2,0,0
5ea73572ec9f9fc6aa2bed47,367,1,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0
5ea73572ec9f9fc6aa2bed47,650,5,3,1,3,1,2,0,0,3,3,1,1,0,0,0,0
5ea735aeec9f9fc6aa2bed79,341,3,10,3,5,1,3,0,0,1,0,3,3,4,5,0,0
5ea735aeec9f9fc6aa2bed79,367,2,3,0,1,1,2,0,0,0,0,0,0,1,1,0,0
5ea735aeec9f9fc6aa2bed79,650,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0
5ea7365bec9f9fc6aa2bf4bf,341,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea7365bec9f9fc6aa2bf4bf,367,3,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0
5ea7365bec9f9fc6aa2bf4bf,650,2,7,3,3,1,1,1,0,0,0,2,3,3,3,0,0
5ea73809ec9f9fc6aa2c11a1,341,9,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0
5ea73809ec9f9fc6aa2c11a1,367,5,15,2,9,4,5,0,0,0,0,2,2,8,9,0,0
5ea73809ec9f9fc6aa2c11a1,650,6,6,0,0,5,6,0,0,0,0,0,0,0,0,0,0
5ea7f828f5adb0a710abf108,341,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5ea7f828f5adb0a710abf108,367,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0
5ea7f828f5adb0a710abf108,650,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea7f9a0f5adb0a710abf121,341,6,6,0,0,5,6,0,0,0,0,0,0,0,0,0,0
