group_id,topic,raw_query,raw_results,raw_recent,raw_saved,query2results,results2query,query2recent,recent2query,query2saved,saved2query,results2recent,recent2results,results2saved,saved2results,recent2saved,saved2recent
5ea72637ec9f9fc6aa2ae05d,341,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea72637ec9f9fc6aa2ae05d,367,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5ea72637ec9f9fc6aa2ae05d,650,4,9,1,3,4,4,0,0,0,0,1,1,3,3,0,0
5ea726adec9f9fc6aa2ae066,341,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0
5ea726adec9f9fc6aa2ae066,367,2,4,1,1,2,1,0,1,0,0,1,0,1,1,0,0
5ea726adec9f9fc6aa2ae066,650,0,3,0,2,0,0,0,0,0,0,0,0,2,2,0,0
5ea726cdec9f9fc6aa2ae06c,341,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0
5ea726cdec9f9fc6aa2ae06c,367,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5ea726cdec9f9fc6aa2ae06c,650,17,18,2,0,15,17,2,0,0,0,0,2,0,0,0,0
5ea72730ec9f9fc6aa2ae08a,341,3,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0
5ea72730ec9f9fc6aa2ae08a,367,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea72730ec9f9fc6aa2ae08a,650,5,6,0,1,4,5,0,0,1,0,0,0,0,1,0,0
5ea727a6ec9f9fc6aa2ae2ac,341,0,4,1,2,0,0,0,0,0,0,1,1,2,2,0,0
5ea727a6ec9f9fc6aa2ae2ac,367,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea727a6ec9f9fc6aa2ae2ac,650,2,7,4,2,2,1,0,1,0,0,3,3,2,1,0,1
5ea73514ec9f9fc6aa2bec2e,341,1,2,2,0,0,0,1,1,0,0,1,1,0,0,0,0
5ea73514ec9f9fc6aa2bec2e,367,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea73514ec9f9fc6aa2bec2e,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea7352aec9f9fc6aa2bec70,341,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea7352aec9f9fc6aa2bec70,367,1,2,0,1,1,0,0,0,0,1,0,0,1,0,0,0
5ea7352aec9f9fc6aa2bec70,650,1,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0
5ea73572ec9f9fc6aa2bed47,341,3,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0
5ea73572ec9f9fc6aa2bed47,367,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
5ea73572ec9f9fc6aa2bed47,650,1,4,0,2,1,1,0,0,0,0,0,0,2,2,0,0
5ea735aeec9f9fc6aa2bed79,341,3,7,2,2,2,3,0,0,1,0,2,2,1,2,0,0
5ea735aeec9f9fc6aa2bed79,367,0,3,1,1,0,0,0,0,0,0,1,1,1,1,0,0
5ea735aeec9f9fc6aa2bed79,650,1,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0
